gameid,blue_league,blue_year,blue_split,blue_playoffs,blue_teamname,blue_side,blue_result,blue_ban1,blue_ban2,blue_ban3,blue_ban4,blue_ban5,blue_pick1,blue_pick2,blue_pick3,blue_pick4,blue_pick5,red_league,red_year,red_split,red_playoffs,red_teamname,red_side,red_result,red_ban1,red_ban2,red_ban3,red_ban4,red_ban5,red_pick1,red_pick2,red_pick3,red_pick4,red_pick5,blue_win
LOLTMNT02_243751,LCK,2025,Rounds 1-2,0,KT Rolster,Blue,0,Varus,Galio,Ambessa,Lulu,Alistar,Vi,Taliyah,Rakan,Tristana,Gnar,LCK,2025,Rounds 1-2,0,Dplus Kia,Red,1,Kalista,Azir,Rumble,Xayah,K'Sante,Ahri,Naafiri,Aatrox,Kai'Sa,Nautilus,0
11968-11968_game_1,LPL,2025,Split 2,0,JD Gaming,Blue,1,Ryze,Aurora,Vi,Sion,Ambessa,Skarner,Taliyah,Jayce,Kalista,Renata Glasc,LPL,2025,Split 2,0,Ninjas in Pyjamas,Red,0,Naafiri,Rumble,Gwen,Varus,Miss Fortune,Xin Zhao,Galio,Kai'Sa,K'Sante,Neeko,1
11968-11968_game_2,LPL,2025,Split 2,0,Ninjas in Pyjamas,Blue,0,Sejuani,Renekton,Gwen,Ezreal,Varus,Naafiri,Poppy,Corki,Alistar,Lissandra,LPL,2025,Split 2,0,JD Gaming,Red,1,Rumble,Ryze,Aurora,Sylas,Orianna,Ambessa,Vi,Ahri,Miss Fortune,Nautilus,0
LOLTMNT02_243783,LCK,2025,Rounds 1-2,0,T1,Blue,1,Varus,Vi,Jayce,Nautilus,Poppy,Gwen,Xin Zhao,Ahri,Jhin,Alistar,LCK,2025,Rounds 1-2,0,Gen.G,Red,0,Kalista,Naafiri,Sejuani,Ashe,Elise,Azir,Skarner,Rumble,Miss Fortune,Rakan,1
LOLTMNT02_244684,LCK,2025,Rounds 1-2,0,Gen.G,Blue,1,Varus,Viktor,Sejuani,Orianna,Elise,Naafiri,Gnar,Ezreal,Galio,Nautilus,LCK,2025,Rounds 1-2,0,T1,Red,0,Jayce,Vi,Kalista,Taliyah,Leona,Ambessa,Corki,Nocturne,Ryze,Poppy,1
11969-11969_game_1,LPL,2025,Split 2,0,ThunderTalk Gaming,Blue,1,Naafiri,Neeko,Gwen,Kalista,Draven,Miss Fortune,Xin Zhao,Ryze,Gragas,Nautilus,LPL,2025,Split 2,0,FunPlus Phoenix,Red,0,Poppy,Varus,Rumble,Sion,Ambessa,Ahri,Vi,Jayce,Kai'Sa,Alistar,1
LOLTMNT02_243791,LCK,2025,Rounds 1-2,0,T1,Blue,0,Yone,Ashe,Jayce,Jinx,Kai'Sa,Sejuani,Caitlyn,Jax,Bard,Taliyah,LCK,2025,Rounds 1-2,0,Gen.G,Red,1,Vi,Kalista,Varus,Elise,Pyke,Viktor,Lillia,K'Sante,Xayah,Blitzcrank,0
11969-11969_game_2,LPL,2025,Split 2,0,FunPlus Phoenix,Blue,1,Varus,Galio,Akali,Ashe,Ezreal,Yone,Sejuani,Kennen,Jhin,Rell,LPL,2025,Split 2,0,ThunderTalk Gaming,Red,0,Naafiri,Gwen,Rumble,Renata Glasc,Neeko,Aurora,Skarner,Ambessa,Corki,Leona,1
11969-11969_game_3,LPL,2025,Split 2,0,ThunderTalk Gaming,Blue,1,Naafiri,Neeko,Gwen,Draven,Blitzcrank,Taliyah,Poppy,Sion,Jinx,Lulu,LPL,2025,Split 2,0,FunPlus Phoenix,Red,0,Varus,Renekton,Rumble,Ezreal,Caitlyn,Gnar,Viego,Galio,Ashe,Renata Glasc,1
11970-11970_game_1,LPL,2025,Split 2,0,Bilibili Gaming,Blue,1,Naafiri,Varus,Jayce,Poppy,Renata Glasc,Vi,Ambessa,Taliyah,Alistar,Ezreal,LPL,2025,Split 2,0,Invictus Gaming,Red,0,Rumble,Gwen,Kalista,Jhin,Kai'Sa,Xin Zhao,Miss Fortune,Renekton,Ahri,Rakan,1
